cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,Date
3587188,3721160,3916473,3920898,3894653,3731994,3547668,3601837,3498077,3770751,3841247,3768005,3035278,3645324,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835830
3587036,3721160,3917083,3921203,3895111,3732147,3547515,3601379,3497467,3770904,3840942,3767700,3034362,3645019,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835831
3586730,3721466,3916625,3921661,3894805,3732147,3547821,3601531,3498382,3771972,3840026,3767395,3035125,3645172,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835832
3586730,3721160,3917541,3921661,3894958,3732452,3547363,3601226,3498077,3771057,3841552,3768005,3034973,3645477,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835833
3587188,3721008,3917388,3921356,3894500,3732299,3547668,3601837,3498382,3771209,3841247,3767547,3035125,3645019,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835834
3586883,3721313,3916625,3921356,3894500,3732147,3547363,3601379,3498077,3770904,3841094,3768310,3034820,3644714,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835835
3586578,3721160,3916931,3921661,3894500,3731994,3547515,3602294,3498229,3771057,3841247,3768310,3034667,3644714,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835836
3586883,3720703,3917541,3921508,3894500,3731689,3547363,3601531,3497161,3770446,3840637,3767700,3034820,3644561,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835837
3586730,3720550,3916015,3920898,3894348,3731536,3546752,3600769,3497772,3770904,3840637,3767547,3035583,3645477,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835838
3587341,3721160,3917236,3920898,3894348,3732299,3547515,3601989,3498382,3771057,3841247,3768005,3034667,3645019,44,121,360,565,571,834,381,76,178,30,423,501,419,-157,221,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1669835839
